Name_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOneOCO_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"--MTV 10 Ton Dump M1157","","","","","","","827","","","","","","148.135","","","","","","179.123","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","ac1e9ae767b07b32048acff2227cba4c7a4135bf6613b6d72ba5ffbdf00c37b0","10-256e67d2abaaeb9e35b29de2aaf01de6c1303fba8c636ba64f03633c9af7e7d5","0-568de3b34430403978c6ff11e186f87a5c6b1d6678b13cda01d046f72c3fb947","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV 10 Ton Dump M1157 w/winch","","","","","","","820","","","","","","306.899","","","","","","374.267","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","ac1e9ae767b07b32048acff2227cba4c7a4135bf6613b6d72ba5ffbdf00c37b0","11-dde568d738cad85f7d0219e3d9de4f6b5becfd5dc3b2f4c0292f2849a52ca626","0-568de3b34430403978c6ff11e186f87a5c6b1d6678b13cda01d046f72c3fb947","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"All configurations (FY 19 and prior)","","","","","","","171199","1205","1439","","","","3335.47","86.388","106.495","","","","19.483","71.691","74.006","","","","2020-BASE_PROCUREMENT-2020-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b6254689026733353150c6125748d60a95454d2a176dbcd63db3282dac87fbea","0-747cd7e0574cec4d829a52e374b1f2edf7ed99aab0f65fd3729b119385dc2708","0-46f6a4f0bed45f7349d1fe309cd53db14e1b8a53c9ebdda82b8296eb1caa08a9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"2B Aero","","","","","","","","","","","960","960","","","","","87.067","87.067","","","","","90.695","90.695","2020-BASE_PROCUREMENT-2020-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b6254689026733353150c6125748d60a95454d2a176dbcd63db3282dac87fbea","1-d88cd1ac2f9b85e9dd4783f4c489848aa3b563b8c2cb0c4fda0e8cf04bb450bb","0-46f6a4f0bed45f7349d1fe309cd53db14e1b8a53c9ebdda82b8296eb1caa08a9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Bunker Buster","","","","","","","","","","","500","500","","","","","27.478","27.478","","","","","54.956","54.956","2020-BASE_PROCUREMENT-2020-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b6254689026733353150c6125748d60a95454d2a176dbcd63db3282dac87fbea","2-9b6acedede3dcccc3e1757610a891e9572571d0b8e81c171fc537471e3c33a35","0-46f6a4f0bed45f7349d1fe309cd53db14e1b8a53c9ebdda82b8296eb1caa08a9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--LMTV Cargo M1078","","","","","","","2221","","188","44","","44","346.306","","40.962","10.61","","10.61","155.923","","217.883","241.136","","241.136","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","0-7f960d2244113e6ed22a5bbac16cc8907022495424dad8028521ec8ae25c2bf9","0-e6881fd622661616f2d68e28ada7f4913980987929da32b7cd7736849bc9d655","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--LMTV Cargo W/W M1078","","","","","","","101","","","","","","14.724","","","","","","145.782","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","1-e4d86f7ea1d544400fe8e1fa751170eed9f12d9360054b03d9087c2aef9acac5","0-e6881fd622661616f2d68e28ada7f4913980987929da32b7cd7736849bc9d655","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--LMTV Van M1079","","","","","","","189","","","","","","38.887","","","","","","205.751","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","2-6be4118fb7694c1c32297bd8716f4f506798c197a37df8d1d04e4d5e3d42eff8","0-e6881fd622661616f2d68e28ada7f4913980987929da32b7cd7736849bc9d655","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo M1083","","","","","","","4705","","17","20","","20","755.695","","5.134","5.503","","5.503","160.615","","302","275.15","","275.15","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","0-c5e2e30eca8fcf2316c434f96d0fb9a571dc147a23c6c5be1dce59f1577282d7","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo w/winch M1083","","","","","","","887","","","","","","140.917","","","","","","158.869","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","1-615265073819d75757641410f6664d7731e9e0cb507860f7ffef726eecf2af45","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo MHE M1084","","","","","","","579","103","8","4","","4","196.159","44.668","2.996","1.412","","1.412","338.789","433.67","374.5","353","","353","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","2-1997be142d111a547ea764e7fe337b3dd77d10505cc7f8b9e9b4592a9b8e4919","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo-Long Wheel Base (LWB) M1085","","","","","","","1473","","7","","","","450.278","","1.613","","","","305.688","","230.429","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","3-41e4c20e876c49d56c9b60f8ef541034c66467dfa9a48450b6c57051c87856c9","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Cargo-LWB w/winch M1085","","","","","","","65","","","","","","10.563","","","","","","162.508","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","4-7a47a96ef8ccb81b68baca7fb79e819badbe12cb88ba5d959ff51d55f5bb8f01","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV LWB Cargo w/MHE M1086","","","","","","","9","","","","","","1.931","","","","","","214.556","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","5-a24cf5cdf7ce78a1b7462ac08dc2fe59524013c9bc2834f8d486f6a163f60555","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Expansible Van M1087","","","","","","","1195","","","","","","780.747","","","","","","653.345","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","6-faa90115cce992b22990b9306d7ffb38c1229e21b88396b6acb30de157fbc16a","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Tractor M1088","","","","","","","2426","","156","21","","21","690.591","","35.763","5.647","","5.647","284.662","","229.25","268.905","","268.905","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","7-682b8450af39c4e2b3e625efeb5cabb0edcb83231def5ea033f5fbe221b1f4d4","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV Wrecker M1089","","","","","","","363","","","14","","14","232.969","","","7.166","","7.166","641.788","","","511.857","","511.857","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","8-823c479505c103bc266fe130589252149d04fa558c9050d37fd418b799f09a36","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV LHS M1148","","","","","","","52","","","39","","39","14.272","","","15.232","","15.232","274.462","","","390.564","","390.564","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","9-2ce24806deb37a07f34446181a760a511ffa339c2e18145f1ce5d79e279e5225","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV 10 Ton Dump M1157","","","","","","","827","","","","","","148.135","","","","","","179.123","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","10-27cbe4285735589c4ec91b7c8fc89f71bcb28c4d1b4c04d6e8d11f729fac9c34","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"--MTV 10 Ton Dump M1157 w/winch","","","","","","","820","","","","","","306.899","","","","","","374.267","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_1-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","c8741db84cb82dd2bbb465cffcc6d30a58f500d75ffc29fbb1598d4c6dbdad9d","11-7bccbbf4b90abf3a2ba9f31807c04ceeea0270ffcdecab59909b4140feccdbe5","0-d6dbc1f13ba6bcacbddfcf8d2903b2f72e8ab33ae4fc946a137bb0503582a363","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"AN/TSQ-226B(V)1 Phase 3 Kits","","","","","","","27","","24","","","","4.609","","4.092","","","","170.704","","170.5","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","0-e4eaea6400047d51eb0351b9566e199c1f41afe83594aa29cd44952d0f6f4b32","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"AN/TSQ-226B(V)1 Phase 3 Kits Spares (RSC)","","","","","","","7","","","","","","1.073","","","","","","153.286","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","1-43d4bd90a695e8f6e4ff8fdafa9ead0c2236f397e2de95e4484073754f15aef0","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"AN/TSQ-226B/C(V)2/3 Phase 3 Kits","","","","","","","1","8","","","","","0.09","0.716","","","","","90","89.5","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","2-502c0f21d02c507a505144929d482152ceecf537fd9c78e03751b0e84021f09d","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"T-JWICS VTC Suite Upgrades","","","","","","","","19","61","89","","89","","0.786","2.523","3.682","","3.682","","41.368","41.361","41.371","","41.371","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","3-19f762b91224c69683b1c9ed60af90fdf572b413152658e7e3881cdba05c3c0f","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"T-JWICS VTC Suite Spares (RSC)","","","","","","","","14","","11","","11","","0.638","","0.502","","0.502","","45.571","","45.636","","45.636","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","4-a4f5bd4b710aad4088fb15a2c5d79e72d9d5a1d73e9e50848306fd8dd8a2a5cd","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"iDirect Modems","","","","","","","","88","106","64","","64","","1.936","2.332","1.408","","1.408","","22","22","22","","22","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","5-7a5f14df2b164e8a7c3c48f9c6bd454a7b3fef0050f386377573c5c7b1c7b216","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"iDirect Modems - Spares (RSC)","","","","","","","","14","","","","","","0.308","","","","","","22","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","6-e8dcaccdd83188001ae6cd4f0b5bb6027eb8b46ac4fb314a2c59b48d9923c0ad","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Hardware (Previous Years)","","","","","","","473","","","","","","143.821","","","","","","304.061","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","46a9eecfb9fc471f960bb9765cd0188ede1e37a7f7d7af29a0ea3c25fc6629e2","7-2fd33cd8aa503977381b964f299d74ca8e75baa976fcfcfedf5ce5af15abb7b9","0-cfab8380ece4747fcd9068364e679457bc746de17402c619217da03f5f51b347","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Hardware & Integration - RAM Warn EDI","","","","","","","80","","","","","","4.27","","","","","","53.375","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b869c1a908e756c3c0d1a2c66b11485e2c68de5811f38d8f9a377b5597e31f51","0-9adc8f933335719a993283dcf0f13aee6d3c2700bb87b4a23eb17e0e2839bf3f","0-5946ec54de8f2e2e856546d43efba97611cb9943562c27ee11617868211701f0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
"Hardware & Integration - RAM Warn BCT Secure Comms","","","","","","","1240","241","399","","","","117.99","16.58","28.483","","","","95.153","68.797","71.386","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b869c1a908e756c3c0d1a2c66b11485e2c68de5811f38d8f9a377b5597e31f51","1-1b8fd477229fbe57c473dc2f6350bd732ff98128bd0ae52cf17784930f5e7b54","0-5946ec54de8f2e2e856546d43efba97611cb9943562c27ee11617868211701f0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement"
