path,2013,2014,2015,2016,2017,2018,2019,2020,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule,YES,YES,NO,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,NO,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.SubCostElementList.SubCostElement,YES,YES,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer,NO,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.NonRecurring.CostElementList.CostElement,NO,NO,NO,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.NonRecurring.CostElementList.CostElement,NO,NO,NO,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer,NO,NO,NO,YES,NO,NO,NO,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,YES,NO,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,NO,YES,NO,NO,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.PackageFielding.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,NO,NO,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.ShipbuildingCostToComplete,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.ShipbuildingCostToComplete.CostElementList.CostElement,NO,NO,NO,NO,NO,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer,YES,NO,NO,NO,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,NO,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,NO,NO,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.NonRecurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer,NO,NO,NO,NO,YES,NO,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,NO,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,NO,NO,NO,NO,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.SubCostElementList.SubCostElement,NO,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,NO,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,NO,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,NO,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer,NO,NO,YES,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,NO,YES,YES,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,NO,NO,NO,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,NO,YES,NO,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,NO,NO,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.SecondaryDistribution.ComponentList.Component,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.OtherRelatedProgramElementList.ProgramElementNumber,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ResourceSummary.OtherResourceSummaryEntryList.OtherResourceSummaryEntry,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.SecondaryDistribution.ComponentList.Component,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.CombinedP29OutfittingP30Delivery.OutfittingAndDeliveryCostList.OutfittingAndDeliveryCost,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.CombinedP29OutfittingP30Delivery.OutfittingAndDeliveryCostList.OutfittingAndDeliveryCost.OutfittingAndDeliveryCostElementListShip.OutfittingAndDeliveryCostElement,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.BudgetYearsForPDF.BudgetYear,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.ContractList.Contract,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Electronics.CostElementAnalysis.MajorItemList.MajorItem,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Electronics.CostElementAnalysis.OtherCostElementList.CostElement,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Electronics.CostElementAnalysis.P35ItemList.P35Item,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Electronics.CostElementAnalysis.P35ItemList.P35Item.CostCategoryList.OtherCategories.CostCategory,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Electronics.CostElementAnalysis.P35ItemList.P35Item.ManufacturerList.Manufacturer,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.HME.CostElementAnalysis.MajorItemList.MajorItem,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.HME.CostElementAnalysis.OtherCostElementList.CostElement,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.HME.CostElementAnalysis.P35ItemList.P35Item,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.HME.CostElementAnalysis.P35ItemList.P35Item.CostCategoryList.OtherCategories.CostCategory,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.HME.CostElementAnalysis.P35ItemList.P35Item.ManufacturerList.Manufacturer,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Ordnance.CostElementAnalysis.MajorItemList.MajorItem,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Ordnance.CostElementAnalysis.OtherCostElementList.CostElement,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Ordnance.CostElementAnalysis.P35ItemList.P35Item,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Ordnance.CostElementAnalysis.P35ItemList.P35Item.CostCategoryList.OtherCategories.CostCategory,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.Ordnance.CostElementAnalysis.P35ItemList.P35Item.ManufacturerList.Manufacturer,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.CostElementCategories.OtherCategories.OtherCategory,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.P10AdvanceProcurement.APCostElementCategoryList.OtherCategoryList.OtherCategory,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ShipsExhibitList.P5ShipClass.P10AdvanceProcurement.APCostElementCategoryList.OtherCategoryList.OtherCategory.APCostElement,NO,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ChangeSummary.AdjustmentDetails.OtherAdjustmentDetailList.OtherAdjustmentDetail,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R2aExhibit.AccomplishmentPlannedProgramList.AccomplishmentPlannedProgram,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R2aExhibit.CongressionalAddDetailList.CongressionalAddDetail,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R2aExhibit.JointFundingList.JointFunding,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R2aExhibit.OtherProgramFundingSummaryList.OtherProgramFundingSummary,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R3Exhibit.CostCategoryGroupList.CostCategoryGroup,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R3Exhibit.CostCategoryGroupList.CostCategoryGroup.CostCategoryItemList.CostCategoryItem,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R4Exhibit.ScheduleProfile,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R4aExhibit.ScheduleDetailList.ScheduleDetail,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.ProgramElementList.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule.ScheduleDetailList.ScheduleDetail,NO,NO,NO,NO,YES,YES,YES,YES,
JustificationBook.R2ExhibitList.R2Exhibit,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ChangeSummary.AdjustmentDetails.OtherAdjustmentDetailList.OtherAdjustmentDetail,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R2aExhibit.AccomplishmentPlannedProgramList.AccomplishmentPlannedProgram,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R2aExhibit.CongressionalAddDetailList.CongressionalAddDetail,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R2aExhibit.JointFundingList.JointFunding,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R2aExhibit.OtherProgramFundingSummaryList.OtherProgramFundingSummary,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R3Exhibit.CostCategoryGroupList.CostCategoryGroup,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R3Exhibit.CostCategoryGroupList.CostCategoryGroup.CostCategoryItemList.CostCategoryItem,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R4Exhibit.ScheduleProfile,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R4aExhibit.ScheduleDetailList.ScheduleDetail,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.R2ExhibitList.R2Exhibit.ProgramElement.ProjectList.Project.R4aExhibit.SubProjectScheduleList.SubProjectSchedule.ScheduleDetailList.ScheduleDetail,YES,YES,YES,YES,NO,NO,NO,NO,
